articles,conjunctions,prepositions
a,after,about
an,although,above
the,as,across
,because,after
,before,against
,if,along
,once,among
,since,around
,than,at
,that,before
,though,behind
,till,below
,unless,beneath
,until,beside
,ever,between
,whereas,by
,and,down
,that,during
,but,except
,or,for
,as,from
,because,in
,while,in front of
,where,inside
,after,instead of
,so,into
,whether,like
,although,near
,nor,of
,like,off
,now,on
,except,onto
,,on top of
,,out of
,,outside
,,over
,,past
,,since
,,through
,,to
,,toward
,,under
,,underneath
,,until
,,up
,,upon
,,with
,,within
,,without 
